domain,media_name
도메인 에러,도메인 에러
www.itworld.co.kr, ITWorld Korea
kbench.com,케이벤치
www.ajunews.com,아주경제
www.unityinfo.co.kr,통일신문
www.dailysecu.com,데일리시큐
www.ddaily.co.kr,디지털데일리
www.etnews.com,전자신문
www.boannews.com,보안뉴스
it.chosun.com,IT 조선
www.datanet.co.kr,데이터넷
www.koit.co.kr,정보통신신문
www.viva100.com,브릿지경제
www.m-economynews.com,M이코노미뉴스
www.joongboo.com,중부일보
www.dailian.co.kr,데일리안 미디어
www.nytimes.com,The New York Times
www.enewstoday.co.kr,이뉴스투데이
www.newsis.com,뉴시스통신사
www.inews24.com,아이뉴스24
www.ilovepc.co.kr,스마트PC사랑
www.munhwa.com,문화일보
view.asiae.co.kr,아시아경제
yna.kr,연합뉴스
biz.sbs.co.kr,SBS Biz
www.efnews.co.kr,파이낸셜신문
www.nextdaily.co.kr,넥스트데일리
www.tgdaily.co.kr,더게임스데일리
www.edaily.co.kr,이데일리
www.celuvmedia.com,셀럽미디어
news.unn.net,한국대학신문
www.newsfc.co.kr,금융소비자뉴스
www.seoul.co.kr,서울신문
www.obsnews.co.kr,OBS경인TV
www.dnews.co.kr,e대한경제
www.mediapen.com,미디어펜
www.inthenews.co.kr,인더뉴스
news.heraldcorp.com,헤럴드경제
www.4th.kr,포쓰저널
biz.khan.co.kr,경향비즈
www.it-b.co.kr,아이티비즈
www.datanews.co.kr,데이터뉴스
www.bzeronews.com,불교공뉴스
www.wikitree.co.kr,위키트리
www.joseilbo.com,경제신문
www.businesspost.co.kr,비즈니스포스트
www.newsworks.co.kr,뉴스웍스
www.aitimes.com,AI타임스
news.mk.co.kr,매일경제 뉴스
news.kotra.or.kr,KOTRA 해외시장뉴스
news.kbs.co.kr,KBS 뉴스
www.betanews.net:8080,베타뉴스
www.medicaltimes.com,메디컬타임즈
www.dailypharm.com,데일리팜
www.jejutwn.com,제주교통복지신문
news.einfomax.co.kr,연합인포맥스
www.newsquest.co.kr,뉴스퀘스트
www.dailymedi.com,데일리메디
www.jejutwn.com,제주교통복지신문
www.ciokorea.com,CIO Korea
ilyo.co.kr,일요신문
www.topstarnews.net,톱스타뉴스
ilyo.co.kr,일요신문
biz.chosun.com,Chosunbiz
www.kyeonggi.com,경기일보
www.itdaily.kr,아이티데일리
www.hortitimes.com,월간원예
zdnet.co.kr,지디넷코리아
www.segye.com,세계일보
www.newscj.com,천지일보
www.insight.co.kr,인사이트
www.hellot.net,헬로티
hankookilbo.com,한국일보
www.idaegu.co.kr,대구신문
www.yakup.com,약업닷컴
moneys.mt.co.kr,머니S
www.mjmedi.com,민족의학신문
www.cstimes.com,컨슈머타임스
www.newsen.com,뉴스엔
news.mt.co.kr,머니투데이
monthly.chosun.com,월간조선
www.nbntv.co.kr,내외경제TV
www.yonhapnewstv.co.kr,연합뉴스TV
www.news1.kr,뉴스1
www.consumernews.co.kr,소비자가 만드는 신문
www.electimes.com,전기신문
www.hankyung.com,한경닷컴
www.newsbrite.net,뉴스브라이트
news.imaeil.com,매일신문
imnews.imbc.com,MBC NEWS
www.pharmnews.com,팜뉴스
www.m-i.kr,매일일보
www.psnews.co.kr,퍼블릭뉴스
www.paxnetnews.com,팍스넷뉴스
news.tf.co.kr,The Fact
www.kyeongin.com,경인일보
www.newspim.com,뉴스핌
www.mdtoday.co.kr,메디컬투데이
kr.aving.net,AVING Korea
www.koreatimes.com,미주한국일보
www.getnews.co.kr,글로벌경제신문
www.siminilbo.co.kr,시민일보
news.kmib.co.kr,국민일보
www.itbiznews.com,IT비즈뉴스
www.cctvnews.co.kr,CCTV뉴스
www.sedaily.com,서울경제
www.incheontoday.com,인천투데이
www.newsworker.co.kr,뉴스워커
www.snmnews.com,철강금속신문
www.straightnews.co.kr,스트레이트뉴스
www.fintechpost.co.kr,블록체인밸리
www.g-enews.com,글로벌이코노믹
www.chosun.com,조선일보
www.earlyadopter.co.kr,얼리어답터
enter.etoday.co.kr,비즈엔터
amenews.kr,amenews.kr
www.thedailypost.kr,데일리포스트
www.asiatoday.co.kr,아시아투데이
www.xportsnews.com,엑스포츠뉴스
www.digitaltoday.co.kr,디지털투데이
byline.network,바이라인네트워크
www.kukinews.com,쿠키뉴스
www.ebn.co.kr,EBN 산업경제
